"grupo_etario","sexo","2015","nMx"
"0-1","F",667339,8e-04
"1-4","F",2669355,0
"5-9","F",236607,2e-04
"10-14","F",247912,3e-04
"15-19","F",272635,5e-04
"20-24","F",281840,6e-04
"25-29","F",293022,7e-04
"30-34","F",292599,0.001
"35-39","F",278005,0.0014
"40-44","F",246495,0.0019
"45-49","F",222933,0.0027
"50-54","F",191835,0.0041
"55-59","F",156406,0.0063
"60-64","F",122985,0.0097
"65-69","F",91504,0.0153
"70-74","F",64846,0.024
"75-79","F",46057,0.0389
"80+","F",47777,0.0957
"0-1","M",50802,0.0135
"1-4","M",203209,5e-04
"5-9","M",246842,3e-04
"10-14","M",258690,4e-04
"15-19","M",279742,0.0026
"20-24","M",283881,0.0034
"25-29","M",297653,0.003
"30-34","M",290892,0.0031
"35-39","M",270622,0.0034
"40-44","M",236646,0.004
"45-49","M",212875,0.0055
"50-54","M",180468,0.0078
"55-59","M",144871,0.0112
"60-64","M",111447,0.0163
"65-69","M",83015,0.0242
"70-74","M",58687,0.0354
"75-79","M",39982,0.0537
"80+","M",38510,0.1085
